posizione,num_partite,roi_percentage,probabilita_totale,quota_totale,partite,tipi_scommessa,expected_return_per_euro
1,2,602.2,35.46469155390398,19.8,AC Pisa 1909 vs FC Internazionale Milano | Bologna FC 1909 vs US Cremonese,1 | GG,7.02
2,2,594.04,35.86780914919153,19.35,Parma Calcio 1913 vs Udinese Calcio | AC Pisa 1909 vs FC Internazionale Milano,GG | 1,6.94
3,2,563.76,35.97589539663014,18.45,US Lecce vs Torino FC | AC Pisa 1909 vs FC Internazionale Milano,GG | 1,6.64
4,3,1000.57,25.853209136918597,42.57,Parma Calcio 1913 vs Udinese Calcio | AC Pisa 1909 vs FC Internazionale Milano | Bologna FC 1909 vs US Cremonese,GG | 1 | GG,11.01
5,3,952.54,25.931116776836944,40.59,US Lecce vs Torino FC | AC Pisa 1909 vs FC Internazionale Milano | Bologna FC 1909 vs US Cremonese,GG | 1 | GG,10.53
6,3,940.31,26.225868795822105,39.67,Parma Calcio 1913 vs Udinese Calcio | US Lecce vs Torino FC | AC Pisa 1909 vs FC Internazionale Milano,GG | GG | 1,10.4
7,4,1549.67,18.90338124515919,87.27,Parma Calcio 1913 vs Udinese Calcio | US Lecce vs Torino FC | AC Pisa 1909 vs FC Internazionale Milano | Bologna FC 1909 vs US Cremonese,GG | GG | 1 | GG,16.5
8,4,1422.48,18.627133658138163,81.73,Parma Calcio 1913 vs Udinese Calcio | AC Pisa 1909 vs FC Internazionale Milano | AS Roma vs SSC Napoli | Bologna FC 1909 vs US Cremonese,GG | 1 | GG | GG,15.22
9,4,1411.57,18.688392781379584,80.88,Parma Calcio 1913 vs Udinese Calcio | AC Milan vs SS Lazio | AC Pisa 1909 vs FC Internazionale Milano | Bologna FC 1909 vs US Cremonese,GG | GG | 1 | GG,15.12
10,5,607.8,20.00976465832714,35.37,Parma Calcio 1913 vs Udinese Calcio | AC Milan vs SS Lazio | US Lecce vs Torino FC | AS Roma vs SSC Napoli | Bologna FC 1909 vs US Cremonese,GG | GG | GG | GG | GG,7.08
11,5,592.0,20.31144294664527,34.07,Genoa CFC vs Hellas Verona FC | Parma Calcio 1913 vs Udinese Calcio | US Lecce vs Torino FC | AS Roma vs SSC Napoli | Bologna FC 1909 vs US Cremonese,GG | GG | GG | GG | GG,6.92
12,5,588.98,20.00397057075578,34.44,Como 1907 vs US Sassuolo Calcio | Parma Calcio 1913 vs Udinese Calcio | US Lecce vs Torino FC | AS Roma vs SSC Napoli | Bologna FC 1909 vs US Cremonese,GG | GG | GG | GG | GG,6.89
