matches,types,num_matches,total_quota,total_probability,expected_return_per_euro,roi_percentage,safety_score
"['AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,4.73,68.22028596799086,3.23,222.68,0.7457622877439269
"['AC Pisa 1909 vs FC Internazionale Milano', 'Atalanta BC vs ACF Fiorentina']","['GG', 'GG']",2,3.72,66.14497659531271,2.46,146.03,0.7291598127625016
"['Juventus FC vs Cagliari Calcio', 'AC Pisa 1909 vs FC Internazionale Milano']","['GG', 'GG']",2,4.94,65.62497222369292,3.25,224.52,0.7249997777895434
"['Como 1907 vs US Sassuolo Calcio', 'AC Pisa 1909 vs FC Internazionale Milano']","['GG', 'GG']",2,3.98,64.50773895285815,2.57,156.58,0.7160619116228653
"['AC Milan vs SS Lazio', 'AC Pisa 1909 vs FC Internazionale Milano']","['GG', 'GG']",2,4.08,64.38582407858742,2.63,163.02,0.7150865926286993
"['Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,3.81,64.30590255579646,2.45,144.75,0.7144472204463719
"['Juventus FC vs Cagliari Calcio', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,5.06,63.80035622149873,3.23,222.83,0.7104028497719899
"['Como 1907 vs US Sassuolo Calcio', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,4.07,62.714186151684444,2.55,155.25,0.7017134892134755
"['AC Milan vs SS Lazio', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,4.18,62.59566096007509,2.62,161.65,0.7007652876806008
"['Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina']","['GG', 'GG']",2,3.98,61.859504239306716,2.46,146.14,0.6948760339144537
"['Juventus FC vs Cagliari Calcio', 'AC Pisa 1909 vs FC Internazionale Milano']","['GG', 'GG']",2,4.94,65.62497222369292,3.25,224.52,
"['Juventus FC vs Cagliari Calcio', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,5.06,63.80035622149873,3.23,222.83,
"['AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG']",2,4.73,68.22028596799086,3.23,222.68,
"['Juventus FC vs Cagliari Calcio', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', 'GG']",3,10.88,53.444483691445846,5.81,481.42,
"['Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'AC Pisa 1909 vs FC Internazionale Milano']","['GG', '1', 'GG']",3,14.84,33.65870563498714,4.99,399.33,
"['Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'Bologna FC 1909 vs US Cremonese']","['GG', '1', 'GG']",3,15.18,32.72286961351956,4.97,396.73,
"['Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', '1', 'GG', 'GG']",4,32.64,27.411396659377036,8.95,794.63,
"['Parma Calcio 1913 vs Udinese Calcio', 'Juventus FC vs Cagliari Calcio', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', 'GG', 'GG']",4,23.39,37.4988192697742,8.77,777.09,
"['Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', 'GG', 'GG']",4,20.67,41.07838511828628,8.49,749.09,
"['Parma Calcio 1913 vs Udinese Calcio', 'Juventus FC vs Cagliari Calcio', 'US Lecce vs Torino FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', '1', 'GG', 'GG']",5,70.17,19.232948627523058,13.5,1249.57,
"['Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'US Lecce vs Torino FC', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', '1', 'GG', 'GG']",5,62.01,21.068889262826243,13.06,1206.49,
"['Parma Calcio 1913 vs Udinese Calcio', 'Juventus FC vs Cagliari Calcio', 'AC Milan vs SS Lazio', 'AC Pisa 1909 vs FC Internazionale Milano', 'Bologna FC 1909 vs US Cremonese']","['GG', 'GG', 'GG', 'GG', 'GG']",5,44.44,28.822262524567133,12.81,1180.88,
